category,label,count,remaining_rate_percent,total_rate_percent,description
hidden_doi,Gizli DOI,11,0.3,0.11,Referans metninde DOI benzeri ifade var ama onceki DOI pipeline'ina temiz yakalanmamis.
dergipark_file,DergiPark article-file,11,0.3,0.11,DergiPark download/article-file URL'si var; OAI article id kesin degil.
thesis,Tez,291,8.01,2.91,Tez veya dissertation referansi; Crossref DOI beklemek genelde dogru denominator degil.
report_policy_legal,Rapor / mevzuat / hukuk,184,5.06,1.84,"Rapor, mevzuat, resmi belge, hukuk kaynagi veya kurum dokumani sinyali tasiyor."
url_web,Web / haber / video,482,13.27,4.82,"Web sayfasi, haber, video, sosyal medya veya erisim URL'si agirlikli referans."
conference,Konferans / bildiri,53,1.46,0.53,"Konferans, kongre, sempozyum veya bildiri sinyali tasiyor."
book_or_chapter,Kitap / kitap bolumu,952,26.2,9.52,"Kitap, yayinevi veya kitap bolumu sinyali tasiyor."
journal_like_left,Journal-like kalan,556,15.3,5.56,Cilt/sayi/sayfa formati var ama Crossref/STQ/OpenAlex/Europe PMC/DergiPark/TR Dizin ile guvenli eslesmedi.
other,Diger / zayif parse,1093,30.09,10.93,Belirgin kategoriye dusmeyen veya parse kalitesi zayif kalan referans.
