category,label,count,remaining_rate_percent,total_rate_percent,description
hidden_doi,Gizli DOI,11,0.3,0.11,Referans metninde DOI benzeri ifade var ama onceki DOI pipeline'ina temiz yakalanmamis.
dergipark_file,DergiPark article-file,11,0.3,0.11,DergiPark download/article-file URL'si var; OAI article id kesin degil.
thesis,Tez,291,8.01,2.91,Tez veya dissertation referansi; Crossref DOI beklemek genelde dogru denominator degil.
report_policy_legal,Rapor / mevzuat / hukuk,190,5.23,1.9,"Rapor, mevzuat, resmi belge, hukuk kaynagi veya kurum dokumani sinyali tasiyor."
url_web,Web / haber / video,618,17.01,6.18,"Web sayfasi, haber, video, sosyal medya veya erisim URL'si agirlikli referans."
conference,Konferans / bildiri,62,1.71,0.62,"Konferans, kongre, sempozyum veya bildiri sinyali tasiyor."
book_or_chapter,Kitap / kitap bolumu,1032,28.41,10.32,"Kitap, yayinevi veya kitap bolumu sinyali tasiyor."
journal_like_left,Journal-like kalan,642,17.67,6.42,Cilt/sayi/sayfa formati var ama Crossref/STQ/OpenAlex/Europe PMC/DergiPark ile guvenli eslesmedi.
