sample_index,publication_id,reference_id,category,matched_id,doi,doaj_id,journal,similarity,matched_title,matched_year,source,raw_context
81,1209869,18378693,journal_like_left,DOAJ:5bf19d1f9f4b443ab19b6eac430c515a,,5bf19d1f9f4b443ab19b6eac430c515a,Sosyal Ekonomik Araştırmalar Dergisi,1.0,ULUSLARARASI REKABET GÜCÜNÜ ETKİLEYEN MAKROEKONOMİK FAKTÖRLER: TÜRK İMALAT SANAYİ ÜZERİNE BİR UYGULAMA,2011,doaj_exact_title_search,"Yapraklı, S. (2011). Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama. Sosyal Ekonomik Araştırmalar Dergisi, 11(22), 373-401."
6172,1271950,21023483,journal_like_left,DOAJ:5f69c3f547c74d8b9d28de172ce6d315,,5f69c3f547c74d8b9d28de172ce6d315,Gestión y Ambiente,1.0,Highlights of consumption and satisfaction in nautical tourism. A comparative study of visitors to the Canary Islands and Morocco,2015,doaj_exact_title_search,"Gonzalez, Y. E. L., Gonzalez, C. J. L., ve Ledesma, J. L. (2015). Highlights of consumption and satisfaction in nautical tourism: A comparative study of visitors to the Canary Islands and Morocco. Gestion y Ambiente, 18(1), 129-145."
7247,1267314,20795765,journal_like_left,DOAJ:b491561f926d41dda5138b7c07963621,,b491561f926d41dda5138b7c07963621,International Journal of Preventive Medicine,1.0,Hepatic artery and portal vein doppler indexes in non-alcoholic fatty liver disease before and after treatment to prevent unnecessary health care costs,2014,doaj_exact_title_search,"30. Tarzamni MK, Khoshbaten M, Sadrarhami S, et al. Hepatic artery and portal vein Doppler indexes in non-alcoholic fatty liver disease before and after treatment to prevent unnecessary health care costs. Int J Prev Med. 2014;5(4):472-477."
9381,1184303,17080040,other,DOAJ:23a763903a2741f9ae177546cdb104fd,,23a763903a2741f9ae177546cdb104fd,Forced Migration Review,1.0,Iraqi refugees in Syria,2007,doaj_exact_title_search,"42. Faisal el-Miqdad, “Iraqi Refugees in Syria,” FMR Iraq Special Issues, (2007), p. 19."
