sample_index,publication_id,reference_id,reference_order,parsed_title,parsed_journal,parsed_year,parsed_authors,parser,crossref_query,context
31,1348868,24565232,4,Türkiye’de imalat sanayinin ithalata bağımlılığının analizi,Gaziantep University Journal of Social Sciences,2018,"Kundak, S, Aydoğuş, I",loose_year,"Türkiye’de imalat sanayinin ithalata bağımlılığının analizi Kundak, S, Aydoğuş, I Gaziantep University Journal of Social Sciences 2018","[4]. Kundak, S, Aydoğuş, I. 2018. Türkiye’de imalat sanayinin ithalata bağımlılığının analizi. Gaziantep University Journal of Social Sciences; 17(1): 252-266."
46,1331693,23886292,5,Why did I ask that question? Bilingual/ESL pre-service teachers’ insights,International Journal of Instruction,2013,"Diaz, Z., Whitacre, M., Esquierdo, J",apa,"Why did I ask that question? Bilingual/ESL pre-service teachers’ insights Diaz, Z., Whitacre, M., Esquierdo, J International Journal of Instruction 2013","Diaz, Z., Whitacre, M., Esquierdo, J. J., & Ruiz-Escalante, J. A. (2013). Why did I ask that question? Bilingual/ESL pre-service teachers’ insights. International Journal of Instruction, 6(2), 163–176."
49,1320153,23381983,76,,,1999,,unparsed,,"Tickner, J. A. (1999). Searching for the princess?. Feminist perspectives in international relations, Harvard International Review, 21 (4), 44-48."
53,1188828,17270319,52,Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning,Creative City Design,2018,"Sarvari, H",apa,"Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning Sarvari, H Creative City Design 2018","Sarvari, H. (2018). Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning. Creative City Design, 1(1), 37–42."
81,1209869,18378693,37,Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama,Sosyal Ekonomik Araştırmalar Dergisi,2011,"Yapraklı, S",apa,"Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama Yapraklı, S Sosyal Ekonomik Araştırmalar Dergisi 2011","Yapraklı, S. (2011). Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama. Sosyal Ekonomik Araştırmalar Dergisi, 11(22), 373-401."
97,1332746,23940469,37,Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion,"International Transaction Journal of Engineering, Management & Applied Sciences & Technologies",2020,"Mohammad, N., Bibi, Z., Karim, J., & Durrani, D",apa,"Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion Mohammad, N., Bibi, Z., Karim, J., & Durrani, D International Transaction Journal of Engineering, Management & Applied Sciences & Technol","Mohammad, N., Bibi, Z., Karim, J., & Durrani, D. (2020). Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion. International Transaction Journal of Engineering, Management & Applied Sciences & Technologies, 11(6), 1-10."
103,1263119,20632708,10,Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry,JACC Cardiovasc Interv,2015,"Nazif TM, Dizon JM, Hahn RT",vancouver,"Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry Nazif TM, Dizon JM, Hahn RT JACC Cardiovasc Interv 2015","10. Nazif TM, Dizon JM, Hahn RT, et al. Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry. JACC Cardiovasc Interv 2015;8(1 Pt A):60-9."
145,1350863,24806895,73,Hukuksal Aklın Transhümanistik Temsilleri Ve OntoRobotik Varoluş Formları,Adalet Dergisi,2021,"Kılıç, M",apa,"Hukuksal Aklın Transhümanistik Temsilleri Ve OntoRobotik Varoluş Formları Kılıç, M Adalet Dergisi 2021","Kılıç, M. (2021). Hukuksal Aklın Transhümanistik Temsilleri Ve Onto- Robotik Varoluş Formları. Adalet Dergisi, 66, 15-54."
148,1176987,16735765,31,Approach to the Woman in Labor: Oral nutrition,J Nurs Sci,2012,"Ergöl S, Eroglu K, Taskın L",vancouver,"Approach to the Woman in Labor: Oral nutrition Ergöl S, Eroglu K, Taskın L J Nurs Sci 2012","31. Ergöl S, Eroglu K, Taskın L. Approach to the Woman in Labor: Oral nutrition. J Nurs Sci. 2012; 4(1): 23-9. 32. Rathfish G. Labor. In: Beji NK, editor. Woman’s Health and Diseases. 1st ed. İstanbul: Nobel Medicine Bookstore; 2015: 312-4."
155,1292878,22053278,21,"Laparoskopik sleeve gastrektomi operasyonunun kısa dönemde besin alımı, biyokimyasal kan parametreleri ve antropometrik ölçümlere etkisinin değerlendirilmesi",Acıbadem Üniversitesi Sağlık Bilimleri Derg,2021,"Çolak GA, Sağlam D",vancouver,"Laparoskopik sleeve gastrektomi operasyonunun kısa dönemde besin alımı, biyokimyasal kan parametreleri ve antropometrik ölçümlere etkisinin değerlendirilmesi Çolak GA, Sağlam D Acıbadem Üniversitesi Sağlık Bilimleri Derg 2021","Çolak GA, Sağlam D. Laparoskopik sleeve gastrektomi operasyonunun kısa dönemde besin alımı, biyokimyasal kan parametreleri ve antropometrik ölçümlere etkisinin değerlendirilmesi. Acıbadem Üniversitesi Sağlık Bilimleri Derg. 2021; 12(2): 291-5."
197,1198158,17880329,16,Zımni volatilite endeksinden gelişmekte olan piyasalara yönelik volatilite yayılma etkisi,BDDK Bankacılık ve Finansal Piyasalar Dergisi,2009,"Korkmaz, T., & Çevik, E",apa,"Zımni volatilite endeksinden gelişmekte olan piyasalara yönelik volatilite yayılma etkisi Korkmaz, T., & Çevik, E BDDK Bankacılık ve Finansal Piyasalar Dergisi 2009","Korkmaz, T., & Çevik, E. İ. (2009). Zımni volatilite endeksinden gelişmekte olan piyasalara yönelik volatilite yayılma etkisi. BDDK Bankacılık ve Finansal Piyasalar Dergisi, 3(2), 87-105."
201,1189906,17315952,24,,,2006,,unparsed,,"Ocak, Gürbüz & Gündüz, M.(2006). Eğitim fakültesini yeni kazanan öğretmen adaylarının öğretmenlik mesleğine giriş dersini almadan önce ve aldıktan sonra öğretmenlik mesleği hakkındaki metaforlarının karşılaştırılması, Afyon Kocatepe Üniversitesi Sosyal Bilimler Dergisi, 8(2), 293-311."
219,1276601,21392458,9,,,2002,,unparsed,,"Koçak, Ö. (2004b). “Afyon-Bolvadin Yüzey Araştırmaları 2002 (Neolitik Çağdan İlk Tunç Çağına Kadar)”, Araştırma Sonuçları Toplantısı-21, cilt.1, 173-184."
270,1326191,23640898,70,"Contributions of floristic and general vegetation characteristics of the Mavga Castle (Mut/Mersin, Türkiye)",Biharean Biologist,2023,"Tel, A",apa,"Contributions of floristic and general vegetation characteristics of the Mavga Castle (Mut/Mersin, Türkiye) Tel, A Biharean Biologist 2023","Tel, A. Z., Ortaç, İ., Özuslu, E., & İlçim, A. (2023). Contributions of floristic and general vegetation characteristics of the Mavga Castle (Mut/Mersin, Türkiye). Biharean Biologist, 18(1): 1 – 11."
306,1348061,24529876,37,On local polynomial regression estimators in finite populations. Int. J. Stats. Appl,Math,2020,"Kikechi, C",apa,"On local polynomial regression estimators in finite populations. Int. J. Stats. Appl Kikechi, C Math 2020","[37] Kikechi, C. B. (2020). On local polynomial regression estimators in finite populations. Int. J. Stats. Appl. Math, 5, 58-63."
335,1238800,19626547,2,İyonlaştırıcı radyasyon ve korunma yöntemleri [Ionizing radiation and protection methods],Selçuk Üniversitesi Fen Fakültesi Fen Derg,2017,"Çimen B, Erdoğan M, Oğul R",vancouver,"İyonlaştırıcı radyasyon ve korunma yöntemleri [Ionizing radiation and protection methods] Çimen B, Erdoğan M, Oğul R Selçuk Üniversitesi Fen Fakültesi Fen Derg 2017","2. Çimen B, Erdoğan M, Oğul R. İyonlaştırıcı radyasyon ve korunma yöntemleri [Ionizing radiation and protection methods]. Selçuk Üniversitesi Fen Fakültesi Fen Derg. 2017;43(2):139-47. [Link]"
345,1275240,21181337,53,Döviz kuru ve dış ticaret ilişkisi: Türkiye örneği,Fırat Üniversitesi Sosyal Bilimler Dergisi,2005,"Karagöz, M., & Doğan, Ç",apa,"Döviz kuru ve dış ticaret ilişkisi: Türkiye örneği Karagöz, M., & Doğan, Ç Fırat Üniversitesi Sosyal Bilimler Dergisi 2005","Karagöz, M., & Doğan, Ç. (2005). Döviz kuru ve dış ticaret ilişkisi: Türkiye örneği. Fırat Üniversitesi Sosyal Bilimler Dergisi, 15(2), 219-228."
355,1315322,23103410,32,The impact of innovation and smart government on happiness: Proposing conceptual framework,International Journal of Management and Human Scienc,2018,"Shamsi, R",apa,"The impact of innovation and smart government on happiness: Proposing conceptual framework Shamsi, R International Journal of Management and Human Scienc 2018","Shamsi, R. S. H. A., Ameen, A. A., Isaac, O., Al-Shibami, A. H., & Khalifa, G. S. (2018). The impact of innovation and smart government on happiness: Proposing conceptual framework. International Journal of Management and Human Scienc, 2(2), 10-26."
394,1310137,22764796,17,The effect of salinity stress and foliar application of nano-fertilizers on quantitative and qualitative characteristics of quinoa forage,Journal of Crops Improvement,2023,"Heidari, F., Jalilian, J., & Gholinezhad, E",apa,"The effect of salinity stress and foliar application of nano-fertilizers on quantitative and qualitative characteristics of quinoa forage Heidari, F., Jalilian, J., & Gholinezhad, E Journal of Crops Improvement 2023","Heidari, F., Jalilian, J., & Gholinezhad, E. (2023). The effect of salinity stress and foliar application of nano-fertilizers on quantitative and qualitative characteristics of quinoa forage. Journal of Crops Improvement, 25(3), 769-785."
420,1278349,21317526,48,[Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease],Nan Fang Yi Ke Da Xue Xue Bao,2009,"Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L",vancouver,"[Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease] Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L Nan Fang Yi Ke Da Xue Xue Bao 2009","47. Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L. [Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease]. Nan Fang Yi Ke Da Xue Xue Bao. 2009;29(8):1735-40. [PubMed]"
423,1372430,25519113,25,,,2016,,unparsed,,"Usman M, Ahmed S, Mehmood T, Hak NU (2016) Determinants Of Financial Sustainability Of Microfinance Institutions In Pakistan. Journal of Contemporary Issues in Business Research 5: 92-99."
426,1237032,19599047,27,,,2008,,unparsed,,"Yaylı, H., & Pustu, Y. (2008). Yerel demokrasinin ilkeleri. Karadeniz Araştırmaları Dergisi, 16(16), 133-153."
449,1223777,19325030,49,African leafy vegetables pre-harvest and post-harvest constrains and technologies for losses reduction along the field to consumer chain,African Journal of Horticultural Science,2017,"Kirigia, D., Kasili, R",apa,"African leafy vegetables pre-harvest and post-harvest constrains and technologies for losses reduction along the field to consumer chain Kirigia, D., Kasili, R African Journal of Horticultural Science 2017","Kirigia, D., Kasili, R. and Mibus, H. (2017). African leafy vegetables pre-harvest and post-harvest constrains and technologies for losses reduction along the field to consumer chain. African Journal of Horticultural Science, 12: 51-60."
467,1310431,22776297,16,Karma yöntem araştırmalarına genel bir bakış,Elektronik Sosyal Bilimler Dergisi,2012,"Baki, A",apa,"Karma yöntem araştırmalarına genel bir bakış Baki, A Elektronik Sosyal Bilimler Dergisi 2012","Baki, A. & Gökçek, T. (2012). Karma yöntem araştırmalarına genel bir bakış. Elektronik Sosyal Bilimler Dergisi, 11(42): 1-21."
481,1264523,20689052,83,Anne psikopatolojisi ve aile işlevselliğinin ergenlerin intihar niyeti ve davranışı üzerine etkisi [in Turkish],Çocuk Sağlığı Hastalıkları Derg,2018,"Dinç GŞ, Şahin M, Bilgili D",vancouver,"Anne psikopatolojisi ve aile işlevselliğinin ergenlerin intihar niyeti ve davranışı üzerine etkisi [in Turkish] Dinç GŞ, Şahin M, Bilgili D Çocuk Sağlığı Hastalıkları Derg 2018","83. Dinç GŞ, Şahin M, Bilgili D, et al. Anne psikopatolojisi ve aile işlevselliğinin ergenlerin intihar niyeti ve davranışı üzerine etkisi [in Turkish]. Çocuk Sağlığı Hastalıkları Derg. 2018;61(1):11-18."
498,1230858,20182070,17,Ön lisans muhasebe öğrencilerinin kariyer planlamasini etkileyen unsurlar: Ege bölgesinde bir araştırma,Muhasebe Bilim Dünyası Dergisi,2010,"Özdemir, S",apa,"Ön lisans muhasebe öğrencilerinin kariyer planlamasini etkileyen unsurlar: Ege bölgesinde bir araştırma Özdemir, S Muhasebe Bilim Dünyası Dergisi 2010","Özdemir, S. (2010). Ön lisans muhasebe öğrencilerinin kariyer planlamasini etkileyen unsurlar: Ege bölgesinde bir araştırma. Muhasebe Bilim Dünyası Dergisi, 12(2), 103–121."
509,1212126,20058648,26,‘Târîhu tetavvüri,l-ʿakâid ve’l-fıkh ʿinde’z-Zeydiyye,2011,"Mahatvarî, Murtaza b",quoted,"‘Târîhu tetavvüri Mahatvarî, Murtaza b l-ʿakâid ve’l-fıkh ʿinde’z-Zeydiyye 2011","Mahatvarî, Murtaza b. Zeyd. ‘‘Târîhu tetavvüri’l-ʿakâid ve’l-fıkh ʿinde’z-Zeydiyye”. İslâmî İlimler Dergisi (Zeydiyye sayısı) VI/1 (2011), 9-40."
553,1163053,16155944,24,"Antibacterial activities of fruticose lichens collected from selected sites in Luzon Island, Philippines",Philipp Sci Lett,2010,"Santiago KKA, Borricano JNC, Canal JN, Marcelo DMA, Perez MCP, Dela Cruz TEE",vancouver,"Antibacterial activities of fruticose lichens collected from selected sites in Luzon Island, Philippines Santiago KKA, Borricano JNC, Canal JN, Marcelo DMA, Perez MCP, Dela Cruz TEE Philipp Sci Lett 2010","Santiago KKA, Borricano JNC, Canal JN, Marcelo DMA, Perez MCP, Dela Cruz TEE. Antibacterial activities of fruticose lichens collected from selected sites in Luzon Island, Philippines. Philipp Sci Lett 2010; 3: 18-29."
598,1357591,24914429,22,Çimento ve Tekstil Sektörlerinde Etkinlik Çalışması ve Veri Zarflama Analizi,Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,2004,"Kayalıdere, K",apa,"Çimento ve Tekstil Sektörlerinde Etkinlik Çalışması ve Veri Zarflama Analizi Kayalıdere, K Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi 2004","Kayalıdere, K. & Kargın, S. (2004). Çimento ve Tekstil Sektörlerinde Etkinlik Çalışması ve Veri Zarflama Analizi. Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 6(1), 196-219."
623,1278168,21436106,29,The effect of sustainability reporting on financial performance: An empirical study using listed companies,Journal of Asia Entrepreneurship and Sustainability,2010,"Reddy, K & Gordon, L.W",apa,"The effect of sustainability reporting on financial performance: An empirical study using listed companies Reddy, K & Gordon, L.W Journal of Asia Entrepreneurship and Sustainability 2010","[30]Reddy, K & Gordon, L.W. (2010). The effect of sustainability reporting on financial performance: An empirical study using listed companies. Journal of Asia Entrepreneurship and Sustainability, 6(2), 19-42."
624,1209108,19667911,21,,,1996,,unparsed,,"Britz, Johannes, Jacobus. (1996). “Technology as a Threat To Privacy: Ethical Challen- ges to the Information Profession”, Microcomputers for Information Management, 13, 3-4, ss.175-93."
627,1232718,19396517,26,Dijital Pazarlama Süreçlerine Kurum Çalışanlarının Katılımı: Trendyol Tech Podcast Serisi Üzerine Bir Değerlendirme,Uluslararası Halkla İlişkiler ve Reklam Çalışmaları Dergisi,2023,"Ergül, E",apa,"Dijital Pazarlama Süreçlerine Kurum Çalışanlarının Katılımı: Trendyol Tech Podcast Serisi Üzerine Bir Değerlendirme Ergül, E Uluslararası Halkla İlişkiler ve Reklam Çalışmaları Dergisi 2023","Ergül, E. (2023). Dijital Pazarlama Süreçlerine Kurum Çalışanlarının Katılımı: Trendyol Tech Podcast Serisi Üzerine Bir Değerlendirme. Uluslararası Halkla İlişkiler ve Reklam Çalışmaları Dergisi, 6(2), 75-98."
628,1232718,19396528,37,Private talk in the public sphere: Podcasting as broadcast talk,"Communication, Politics & Culture",2009,"Jarret, K",apa,"Private talk in the public sphere: Podcasting as broadcast talk Jarret, K Communication, Politics & Culture 2009","Jarret, K. (2009). Private talk in the public sphere: Podcasting as broadcast talk. Communication, Politics & Culture, 42(2), 116-135."
633,1214153,18883924,49,Determination of the level of efficiency of training and research hospital in Turkey with pabon lasso and data envelopment analysis,Hacettepe Sağlık İdaresi Dergisi,2020,"Taşkaya, S",apa,"Determination of the level of efficiency of training and research hospital in Turkey with pabon lasso and data envelopment analysis Taşkaya, S Hacettepe Sağlık İdaresi Dergisi 2020","Taşkaya, S. (2020). Determination of the level of efficiency of training and research hospital in Turkey with pabon lasso and data envelopment analysis. Hacettepe Sağlık İdaresi Dergisi, 23(1), 247-260."
648,1241426,19729665,36,,,2014,,unparsed,,"Yalçın Balçık, P., Taşkaya, S., & Şahin, B. (2014). Sağlık okur-yazarlığı, 13(4):321-326."
665,1226160,19038052,33,Evidence and implications of extensive groundwater overdraft-induced land subsidence in Greece,European Water,2013,"Paleologos, E., & Mertikas, S",apa,"Evidence and implications of extensive groundwater overdraft-induced land subsidence in Greece Paleologos, E., & Mertikas, S European Water 2013","Paleologos, E., & Mertikas, S. (2013). Evidence and implications of extensive groundwater overdraft-induced land subsidence in Greece. European Water, 43, 3–11."
670,1284386,21664998,3,Hemşirelik uygulamalarında araştırma sonuçlarının kullanımında engeller,Florence Nightingale Journal of Nursing,2010,"Ayık, S., Öztürk, A., Kaya, N., Uygur, E",apa,"Hemşirelik uygulamalarında araştırma sonuçlarının kullanımında engeller Ayık, S., Öztürk, A., Kaya, N., Uygur, E Florence Nightingale Journal of Nursing 2010","Ayık, S., Öztürk, A., Kaya, N., Uygur, E. & Cengiz, A. (2010). Hemşirelik uygulamalarında araştırma sonuçlarının kullanımında engeller. Florence Nightingale Journal of Nursing, 18(3), 144-155."
676,1199489,17914564,11,Language models are few-shot learners,Advances in neural information processing systems,2020,"Brown, T., Mann, B., Ryder, N., Subbiah, M., Kaplan, J",apa,"Language models are few-shot learners Brown, T., Mann, B., Ryder, N., Subbiah, M., Kaplan, J Advances in neural information processing systems 2020","[11] Brown, T., Mann, B., Ryder, N., Subbiah, M., Kaplan, J. D., Dhariwal, P., ... & Amodei, D. (2020). Language models are few-shot learners. Advances in neural information processing systems, 33, 1877-1901."
684,1171277,16498284,52,Effect of refrigerated storage on fillet lipid quality of rainbow trout (Oncorhynchus mykiss W.) fed a diet containing different levels of DL α-tocophrol acetate,Turkish J Vet Anim Sci,2006,"Yıldız M, Şener E, Gün H",loose_year,"Effect of refrigerated storage on fillet lipid quality of rainbow trout (Oncorhynchus mykiss W.) fed a diet containing different levels of DL α-tocophrol acetate Yıldız M, Şener E, Gün H Turkish J Vet Anim Sci 2006","Yıldız M, Şener E, Gün H. 2006. Effect of refrigerated storage on fillet lipid quality of rainbow trout (Oncorhynchus mykiss W.) fed a diet containing different levels of DL α-tocophrol acetate. Turkish J Vet Anim Sci, 30: 143-150."
707,1224320,19337182,13,Z kuşağının dijital teknolojiye yönelik tutumları,Gümüshane Üniversitesi Sosyal Bilimler Enstitüsü Elektronik Dergisi,2019,"Erten, P",apa,"Z kuşağının dijital teknolojiye yönelik tutumları Erten, P Gümüshane Üniversitesi Sosyal Bilimler Enstitüsü Elektronik Dergisi 2019","Erten, P. (2019). Z kuşağının dijital teknolojiye yönelik tutumları. Gümüshane Üniversitesi Sosyal Bilimler Enstitüsü Elektronik Dergisi, 10(1), 190–202."
722,1354587,24787496,9,Hastane işletmelerinde içsel pazarlama yaklaşımının iş tatmini ve örgütsel bağlılık üzerine etkisi: Isparta ili örneği,*Hacettepe Sağlık İdaresi Dergisi*,2010,"(9) Büyüker İşler, D., & Özdemir, Ş",apa,"Hastane işletmelerinde içsel pazarlama yaklaşımının iş tatmini ve örgütsel bağlılık üzerine etkisi: Isparta ili örneği (9) Büyüker İşler, D., & Özdemir, Ş *Hacettepe Sağlık İdaresi Dergisi* 2010","(9) Büyüker İşler, D., & Özdemir, Ş. (2010). Hastane işletmelerinde içsel pazarlama yaklaşımının iş tatmini ve örgütsel bağlılık üzerine etkisi: Isparta ili örneği. *Hacettepe Sağlık İdaresi Dergisi*, 13(2), 115-142."
725,1374156,25582116,31,Kültürel Sinerji: Uluslararası İşletmelere Yönelik Kavramsal Bir İrdeleme. Akdeniz Üniversitesi İ.İ.B.F,Dergisi,2003,"Ehtiyar, R",apa,"Kültürel Sinerji: Uluslararası İşletmelere Yönelik Kavramsal Bir İrdeleme. Akdeniz Üniversitesi İ.İ.B.F Ehtiyar, R Dergisi 2003","Ehtiyar, R. (2003). Kültürel Sinerji: Uluslararası İşletmelere Yönelik Kavramsal Bir İrdeleme. Akdeniz Üniversitesi İ.İ.B.F. Dergisi, 3(5), 66-78."
729,1374156,25582164,79,,,2008,,unparsed,,"Sürgevil, O. (2008). Farklılık Kavramına ve Farklılıkların Yönetimine Temel Oluşturan Sosyo-psikolojik Kuramlar ve Yaklaşımlar, Balıkesir Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 11(20), 111-124."
730,1374156,25582168,83,"(2018), Göç, Sosyal Değişme ve Din",Diyanet Dergisi,2018,"Taştan, A",volume_pages,"(2018), Göç, Sosyal Değişme ve Din Taştan, A Diyanet Dergisi 2018","Taştan, A. (2018), Göç, Sosyal Değişme ve Din. Diyanet Dergisi, 328, 10-13."
732,1374156,25582182,97,21. Yüzyılın Küresel Örgütleri İçin Kültürel Zekâ. Ç.Ü,Sosyal Bilimler Enstitüsü Dergisi,2010,"Yeşil, S",apa,"21. Yüzyılın Küresel Örgütleri İçin Kültürel Zekâ. Ç.Ü Yeşil, S Sosyal Bilimler Enstitüsü Dergisi 2010","Yeşil, S. (2010). 21. Yüzyılın Küresel Örgütleri İçin Kültürel Zekâ. Ç.Ü. Sosyal Bilimler Enstitüsü Dergisi, 19(2), 147 – 168."
757,1194699,17600528,9,Are of osteomeatal complex variations related to nasolacrimal canal morphometry,Iran J Otorhinolaryngol,2022,"Khojastepour L, Dokohaki S, Paknahad M",vancouver,"Are of osteomeatal complex variations related to nasolacrimal canal morphometry Khojastepour L, Dokohaki S, Paknahad M Iran J Otorhinolaryngol 2022","9. Khojastepour L, Dokohaki S, Paknahad M. Are of osteomeatal complex variations related to nasolacrimal canal morphometry. Iran J Otorhinolaryngol. 2022;34:17–26."
791,1279484,21381409,65,Measurement and evaluation of satisfaction process in retail setting,Journal of Retailing,1981,"Oliver, R",apa,"Measurement and evaluation of satisfaction process in retail setting Oliver, R Journal of Retailing 1981","Oliver, R. L. (1981). Measurement and evaluation of satisfaction process in retail setting. Journal of Retailing, 57(3), 25-48."
827,1238691,19622921,72,Sanayi Alanları Düzenleme Stratejileri-İstanbul Örneği,"İTÜ Dergisi/a: Mimarlık, Planlama, Tasarım",2003,"Yüzer, A",apa,"Sanayi Alanları Düzenleme Stratejileri-İstanbul Örneği Yüzer, A İTÜ Dergisi/a: Mimarlık, Planlama, Tasarım 2003","Yüzer, A. Ş., ve Giritlioğlu, C. (2003). Sanayi Alanları Düzenleme Stratejileri-İstanbul Örneği. İTÜ Dergisi/a: Mimarlık, Planlama, Tasarım, 2(1), 119-127."
841,1264798,20700255,8,Reliability and validity of the standardized mini mental state examination in the diagnosis of mild dementia in Turkish population,Turk Psikiyatri Derg,2002,"Gungen C, Ertan T, Eker E, Yasar R, Engin F",vancouver,"Reliability and validity of the standardized mini mental state examination in the diagnosis of mild dementia in Turkish population Gungen C, Ertan T, Eker E, Yasar R, Engin F Turk Psikiyatri Derg 2002","8. Gungen C, Ertan T, Eker E, Yasar R, Engin F. Reliability and validity of the standardized mini mental state examination in the diagnosis of mild dementia in Turkish population. Turk Psikiyatri Derg 2002; 13:273-281. [Turkish]"
845,1284850,21688021,42,İstanbul’da Yaşlılık ve Yaşlılığın Yapısal Değişim,Yıldız Sosyal Bilimler Enstitüsü Dergisi,2018,"Müftüler, H",apa,"İstanbul’da Yaşlılık ve Yaşlılığın Yapısal Değişim Müftüler, H Yıldız Sosyal Bilimler Enstitüsü Dergisi 2018","Müftüler, H. (2018). İstanbul’da Yaşlılık ve Yaşlılığın Yapısal Değişim. Yıldız Sosyal Bilimler Enstitüsü Dergisi, 2(1), 58-80."
862,1298874,23246682,38,Mobbing ve çalışan performansı arasındaki ilişkiyi belirlemeye yönelik bir araştırma,Journal of Academıc Approaches,2016,Duman Ç,vancouver,Mobbing ve çalışan performansı arasındaki ilişkiyi belirlemeye yönelik bir araştırma Duman Ç Journal of Academıc Approaches 2016,"Duman Ç. M., Akdemir B. Mobbing ve çalışan performansı arasındaki ilişkiyi belirlemeye yönelik bir araştırma. Journal of Academıc Approaches. 2016;7:29–52."
886,1285611,21734771,19,Investigating the effectiveness of virtual labs in engineering education: A case study of chemical engineering courses,Journal of Chemical Engineering Education,2022,"Wang, Y., & Jiang, F",apa,"Investigating the effectiveness of virtual labs in engineering education: A case study of chemical engineering courses Wang, Y., & Jiang, F Journal of Chemical Engineering Education 2022","Wang, Y., & Jiang, F. (2022). Investigating the effectiveness of virtual labs in engineering education: A case study of chemical engineering courses. Journal of Chemical Engineering Education, 56(3), 267-281."
897,1343427,24349111,51,Rough Set Model for Discovering Hybrid Association Rules,International Journal of Computer Science and Network Security (IJCSNS,2009,"Pandey, A",apa,"Rough Set Model for Discovering Hybrid Association Rules Pandey, A International Journal of Computer Science and Network Security (IJCSNS 2009","Pandey, A. & Pardasani, K.R. (2009). Rough Set Model for Discovering Hybrid Association Rules. International Journal of Computer Science and Network Security (IJCSNS), 9(6), 159-164."
907,1232495,19545887,22,Hastaların hemşirelik bakımını algılayış düzeylerinin belirlenmesi,Göller Bölgesi Aylık Hakemli Ekonomi ve Kültür Dergisi,2018,"Yılmaz F, Şentürk S, Yalçın P, Başoğlu S",vancouver,"Hastaların hemşirelik bakımını algılayış düzeylerinin belirlenmesi Yılmaz F, Şentürk S, Yalçın P, Başoğlu S Göller Bölgesi Aylık Hakemli Ekonomi ve Kültür Dergisi 2018","22. Yılmaz F, Şentürk S, Yalçın P, Başoğlu S. Hastaların hemşirelik bakımını algılayış düzeylerinin belirlen- mesi. Göller Bölgesi Aylık Hakemli Ekonomi ve Kültür Dergisi. 2018;5(59):61-66."
910,1193991,17572838,4,Wavelet transform based classification of invasive brain computer interface data,Radioengineering,2011,"Aydemir, O., & Kayikcioglu, T",apa,"Wavelet transform based classification of invasive brain computer interface data Aydemir, O., & Kayikcioglu, T Radioengineering 2011","Aydemir, O., & Kayikcioglu, T. (2011). Wavelet transform based classification of invasive brain computer interface data. Radioengineering, 20, 31-38."
930,1279858,21406487,25,Sosyal Sermayenin Hizmet İnovasyonu Üzerine Etkisinde Bilgi Paylaşımının Aracılık Rolü: Otel İşletmeleri Üzerine Bir Araştırma,Turizm Akademik Dergisi,2019,"Çöp, S",apa,"Sosyal Sermayenin Hizmet İnovasyonu Üzerine Etkisinde Bilgi Paylaşımının Aracılık Rolü: Otel İşletmeleri Üzerine Bir Araştırma Çöp, S Turizm Akademik Dergisi 2019","Çöp, S. ve Topcu, M. (2019). Sosyal Sermayenin Hizmet İnovasyonu Üzerine Etkisinde Bilgi Paylaşımının Aracılık Rolü: Otel İşletmeleri Üzerine Bir Araştırma. Turizm Akademik Dergisi, 6(1), 31-48."
