category,label,count,remaining_rate_percent,total_rate_percent
hidden_doi,Gizli DOI,11,0.3,0.11
dergipark_file,DergiPark article-file,11,0.3,0.11
thesis,Tez,291,8.01,2.91
report_policy_legal,Rapor / mevzuat / hukuk,184,5.06,1.84
url_web,Web / haber / video,482,13.27,4.82
conference,Konferans / bildiri,53,1.46,0.53
book_or_chapter,Kitap / kitap bolumu,952,26.2,9.52
journal_like_left,Journal-like kalan,556,15.3,5.56
other,Diger / zayif parse,1093,30.09,10.93
