sample_index,publication_id,reference_id,category,matched_id,doi,resource_type,publisher,similarity,matched_title,matched_year,source,raw_context
455,1276012,21214224,other,10.13140/rg.2.2.28484.78726,10.13140/rg.2.2.28484.78726,Text,University of Texas at Arlington,1.0,Autonomous Vehicles and Freight Transportation Analysis,2019,datacite_title_year_search,"Shahandasht, M., Pudasaini, B., & McCauley, S. L. (2019). Autonomous Vehicles and Freight Transportation Analysis. Department of Civil Engineering, The University of Texas at Arlington, 1-111."
897,1343427,24349111,journal_like_left,10.48550/arxiv.0906.4172,10.48550/arxiv.0906.4172,Text,arXiv,1.0,Rough Set Model for Discovering Hybrid Association Rules,2009,datacite_title_year_search,"Pandey, A. & Pardasani, K.R. (2009). Rough Set Model for Discovering Hybrid Association Rules. International Journal of Computer Science and Network Security (IJCSNS), 9(6), 159-164."
1756,1232828,19542398,journal_like_left,10.22004/ag.econ.289232,10.22004/ag.econ.289232,Text,Unknown,1.0,Capital Structure and its Impact on Profit Ability: A Study of Listed Manufacturing Companies in SRI Lanka,2010,datacite_title_year_search,"Namalathasan, B. (2010). Capital structure and its impact on profit ability: A study of listed manufacturing companies in SRI Lanka. Ekonomika, Journal for Economic Theory and Practice and Social Issues, 56(4), 83-92."
