sample_index,publication_id,reference_id,reference_order,pubmed_status,pmid,pubmed_doi,pubmed_title,pubmed_journal,pubmed_year,title_coverage,title_similarity,year_match,bdata,context
6385,1256585,20364671,30,no_match,,,,,,0.0,0.0,False,International Anatolia Academic Online Journal Health Sciences|2021|7|79|B||,"30. Alaşar B, Çevik K. The Effect of Different Techniques Used in Intramuscular Injection on Pain and Drug Leakage. International Anatolia Academic Online Journal Health Sciences 2021;7:79-92."
6658,1316149,23150813,16,no_match,,,,,,0.0,0.0,False,2011|2011|40|48|DN||,"16. Gilbert DN, Robert C, Moellering JMD, Eliopoulos GM, Sande MA. The Sanford guide to antimicrobial ther-apy: Antimicrobial therapy. 2011;40:48-51."
6697,1262766,20623122,15,possible,19423851,10.1161/strokeaha.109.192361,Recommendations for the implementation of telemedicine within stroke systems of care: a policy statement from the American Heart Association.,Stroke,2009,0.9167,0.3489,False,Stroke|2009|40|2635|LH||,"15. Schwamm LH, Audebert HJ, Amarenco P, Chumbler NR, Frankel MR, George MG, et al; American Heart Association Stroke Council; Council on Epidemi- ology and Prevention; Interdisciplinary Council on Peripheral Vascular Disease; Council on Cardiovascular Radiology and Intervention. Recom- mendations for the implementation of telemedicine within stroke systems of care: a policy statement from the American Heart Association. Stroke. 2009;40(7):2635-60. [PubMed]"
6712,1364620,25219491,35,no_match,,,,,,0.0,0.0,False,Klinik Psikiyatri|2009|12|125|Yalçın||,"Yalçın, M., Eşsizoğlu, A., Akkoç, H., Yaşan, A., & Gürgen, F. (2009). Dicle Üniversitesi öğrencilerinde madde kullanımını belirleyen risk faktörleri. Klinik Psikiyatri, 12, 125–133."
6819,1221427,18828176,3,no_match,,,,,,0.0,0.0,False,Hacettepe Sağlık İdaresi Dergisi|2014|17|45|Yalçın||,"Balçık Yalçın, P., Demir Bilgin, İ., & Ürek, D. (2014). Ankara’da seçilen bazı hastanelerde afet yönetimine ilişkin mevcut durum değerlendirilmesi. Hacettepe Sağlık İdaresi Dergisi, 17(1), 45–58."
7117,1250332,20098329,6,no_match,,,,,,0.0,0.0,False,Beslenme ve Diyet Dergisi|2009|37|93|Büyüktuncer||,"Büyüktuncer, Z. & Yücecan, S. (2009). Türk mutfağının beslenme ve sağlık açısından değerlendirilmesi. Beslenme ve Diyet Dergisi, 37(1-2), 93-100."
7242,1342946,25055129,27,possible,29440806,10.4103/ijpc.ijpc_114_17,Prevalence and Intensity of Dyspnea in Advanced Cancer and its Impact on Quality of Life.,Indian journal of palliative care,2018,1.0,1.0,False,Indian J Palliat Care|2018|24|44|A||,"27. Damani A, Ghoshal A, Salins N, Deodhar J, Muckaden M. Prevalence and intensity of dyspnea in advanced cancer and its impact on quality of life. Indian J Palliat Care. 2018;24(1):44-50."
7247,1267314,20795765,29,possible,24829735,,Hepatic Artery and Portal Vein Doppler Indexes in Non-alcoholic Fatty Liver Disease Before and After Treatment to Prevent Unnecessary Health Care Costs.,International journal of preventive medicine,2014,1.0,1.0,False,Int J Prev Med|2014|5|472|MK||,"30. Tarzamni MK, Khoshbaten M, Sadrarhami S, et al. Hepatic artery and portal vein Doppler indexes in non-alcoholic fatty liver disease before and after treatment to prevent unnecessary health care costs. Int J Prev Med. 2014;5(4):472-477."
7360,1263262,20637398,98,no_match,,,,,,0.0,0.0,False,TJVR|2018|2|1|İ||,"98. Bastan İ, Bas B. Clinical and some laboratory findings in cats with Toxoplasmosis. TJVR 2018; 2: 1-4."
7458,1275382,21186841,8,no_match,,,,,,0.0,0.0,False,AHIP Cover|2005|12|1|F||,"8. Alan F. Westin (2005). “Public Attitudes Toward Electronic Health Records”. AHIP Cover, 12 (2), 1–7."
