sample_index,publication_id,reference_id,reference_order,target_publication_id,reference_year,reference_journal_code,reference_authors,source_doi,hidden_doi,trdizin_status,target_doi,target_crossref_status,target_crossref_doi,target_title,target_year,target_journal,target_journal_code,target_issn,target_eissn,target_doc_type,request_error,context
7562,1308875,22712078,15,326820,2018,1035,Şerife ÖNDER; Ahmet AĞCA,,,strong_trdizin_id,,no_doi,,İşletmelerinRisk Gruplarına Göre Çevresel Sürdürülebilirlik Uygulamaları: BIST 100 Endeksinde Bir Uygulama,2018,İnsan ve Toplum Bilimleri Araştırmaları Dergisi,1035,,2147-1185,PAPER,,"Önder, Ş. and Ağca, A. (2018). İşletmelerin Risk Gruplarına Göre Çevresel Sürdürülebilirlik Uygulamaları: BIST 100 Endeksinde Bir Uygulama, İnsan ve Toplum Bilimleri Araştırmaları Dergisi, 7(1), 77-89."
7612,1340095,24201603,1,113449,2011,640,Mehmet AKBAL,,,strong_trdizin_id,,no_doi,,Medeniyargılama hukukunda adli yardım,2011,Türkiye Barolar Birliği Dergisi,640,1304-2408,,PAPER,,"AKBAL, Mehmet: “Medeni Yargılama Hukukunda Adli Yardım”, Türkiye Barolar Birliği Dergisi, 2011, Cilt 23, Sayı 93, s. 147-173."
7613,1340095,24201626,24,172611,2014,623,Ahmet EKİNCİ,,,strong_trdizin_id,,no_doi,,Anayasamahkemesi’nin bireysel başvuru kararlarında mahkemeye erişim hakkı,2014,Gazi Üniversitesi Hukuk Fakültesi Dergisi,623,1302-0013,,PAPER,,"EKİNCİ, Ahmet: “Anayasa Mahkemesi’nin Bireysel Başvuru Kararlarında Mahkemeye Erişim Hakkı”, Ankara Hacı Bayram Veli Üniversitesi Hukuk Fakültesi Dergisi, 2014, Cilt 18, Sayı 3, s. 821-848."
7635,1207630,18247902,44,277164,2017,1035,Fatih ÖZKAFA,,,strong_trdizin_id,,no_doi,,HayvanTasvirli Hat Eserleri,2017,İnsan ve Toplum Bilimleri Araştırmaları Dergisi,1035,,2147-1185,PAPER,,"Özkafa, Fatih. “Hayvan Tasvirli Hat Eserleri”. İnsan ve Toplum Bilimleri Araştırmaları Dergisi, 6/5, 2017, 2299-2322."
7668,1266093,20746112,59,107916,2010,648,Sevim BUDAK; Uğur YILDIRIM,,,strong_trdizin_id,,no_doi,,ABtam üyelik sürecinde Türkiye'nin çevre politikasındaki değişimler,2010,Mustafa Kemal Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,648,1304-429X,,PAPER,,"Yıldırım, U., & Budak, S. (2010). AB tam üyelik sürecinde Türkiye'nin çevre politikasındaki değişimler. Mustafa Kemal Üniversitesi. Sosyal Bilimler Enstitüsü Dergisi, 7(13), 173-191."
7699,1225822,19016305,49,143079,2012,545,MUSTAFA YÜKSEL,,,strong_trdizin_id,,no_doi,,DamienHirst'ün sanat pazarı,2012,Atatürk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,545,1304-4990,,PAPER,,"Yüksel, M. (2012). Damien Hirst’ün Sanat Pazarı. Atatürk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 16(3), 159-170."
7703,1271841,21015361,6,71340,2007,116,Ayşen COŞKUN; Belma AĞAOĞLU; Nursu Çakın MEMİK; Özden Ş. ÜNERİ; Işık KARAKAYA,,,strong_trdizin_id,,no_doi,,Çocuklariçin yaşam kalitesi ölçeğinin 13-18 yaş ergen formunun geçerlik ve güvenilirliği,2007,Türk Psikiyatri Dergisi,116,1300-2163,2651-3463,PAPER,,"Çakın-Memik, N., Ağaoğlu, B., Coşkun, A., Üneri, Ö.Ş. ve Karakaya, I. (2007). Çocuklar İçin Yaşam Kalitesi Ölçeğinin 13-18 yaş ergen formunun geçerlik ve güvenilirliği. Turk Psikiyatri Derg, 18(4), 353-363."
7725,1328938,23760603,30,328937,2018,1202,Cemil HAKYEMEZ,,,strong_trdizin_id,,no_doi,,MezhepleriYakınlaştırma (Takrîbü’l-Mezâhib) Çalışmalarının Değerlendirilmesi Evaluation of Sects Reconcil,2018,İslami Araştırmalar,1202,1300-0373,1304-6810,PAPER,,"Hakyemez, Cemil. “Mezhepleri Yakınlaştırma (Takrîbü’l-Mezâhib) Çalışmalarının Değerlendirilmesi”. İslamî  Araştırmalar 2/29 (2018), 288-309."
7742,1157100,15855641,31,256412,2017,522,Yüksel GÜNDÜZ; Süleyman Davut GÖKER,,,strong_trdizin_id,,no_doi,,DÜNYAÖLÇEĞİNDE ÖĞRETMENLERİN SAYGINLIK STATÜSÜ VE ÖZLÜK HAKLARI,2017,Milli Eğitim,522,1302-5600,2791-7657,PAPER,,"Göker, S. D. ve Gündüz, Y. (2017). Dünya ölçeğinde öğretmenlerin saygınlık statüsü ve özlük hakları. Milli Eğitim Dergisi, 46(213), 177-196."
7811,1338891,24996500,17,30745,2003,226,Ümran ŞAHAN; Bilgehan YILMAZ; Aydın İPEK,,,strong_trdizin_id,,no_doi,,"Japonbıldırcınlarında (Coturnix coturnix japonica) canlı ağırlık, erkek dişi oranı ve anaç yaşının yumurta ağırlığı ve kuluçka sonuçlarına etkisi",2003,Uludağ Üniversitesi Ziraat Fakültesi Dergisi,226,1301-3165,2636-8595,PAPER,,"İpek, A., Şahan, Ü., & Yılmaz, B. (2003). Japon bıldırcınlarında (Coturnix coturnix japonica) canlı ağırlık, erkek-dişi oranı ve anaç yaşının yumurta ağırlığı ve kuluçka sonuçlarına etkisi. Uludağ Üniversitesi Ziraat Fakültesi Dergisi, 17(1),13-22."
7857,1306619,22624714,39,159951,2012,5,İbrahim BALCIOĞLU; İbrahim ÜZÜN; Şafak TAKTAK,,,strong_trdizin_id,,no_doi,,İstanbulda tamamlanmış intihar olgularının psikolojik otopsisi,2012,Anadolu Psikiyatri Dergisi,5,1302-6631,,PAPER,,"39. Taktak Ş, Üzün İ, Balcıoğlu İ. [Determined of psychological autopsy of completed suicides in İstanbul] (in Turkish). Anatolian Journal of Psychiatry. 2012; 13:117-124."
7882,1168560,17123727,71,119557,2009,572,Aylin DURSUN; HÜLYA ŞAHİN BALTACI,,,strong_trdizin_id,,no_doi,,Okulöncesi öğretmenlerinin iş doyumları: Burdur örneği,2009,Mehmet Akif Ersoy Üniversitesi Eğitim Fakültesi Dergisi,572,,2146-5983,PAPER,,"Şahin, H. ve Dursun, A. (2009). Okul öncesi öğretmenlerinin iş doyumları: Burdur örneği. Mehmet Akif Ersoy Üniversitesi Eğitim Fakültesi Dergisi, 18, 160-179."
7920,1282717,21586935,22,145049,2013,644,Suat ŞENSOY; Aytekin EKİNCİALP,,,strong_trdizin_id,,no_doi,,VanGölü havzası fasulye genotiplerinin bazı bitkisel özelliklerinin belirlenmesi,2013,Yüzüncü Yıl Üniversitesi Tarım Bilimleri Dergisi,644,1308-7576,1308-7584,PAPER,,"23.Ekincialp, A., Şensoy, S., 2013. Van Gölü Havzası Fasulye Genotiplerinin Bazı Bitkisel Özelliklerinin Belirlenmesi. Yüzüncü Yıl Üniversitesi Tarım Bilimleri Dergisi 23(2):102- 111."
7954,1310145,22765269,18,208877,2016,721,Sezen KAMA,,,strong_trdizin_id,,no_doi,,"ParlamenterHükümet Sistemi Olarak ""Westminster Modeli"" Britanya Örneği Üzerine Bir Deneme",2016,Marmara Üniversitesi Hukuk Fakültesi Hukuk Araştırmaları Dergisi,721,2146-0590,2529-0142,PAPER,,"Kama S, “Parlamenter Hükümet Sistemi Olarak “Westminster Modeli” Britanya Örneği Üzerine Bir Deneme”, MÜHFHAD, C. 22, S. 2, 2016, ss. 61-201."
7977,1274725,21333079,15,1187087,2023,1445,Nazlı ERSOY,,,strong_trdizin_id,,no_doi,,BütünleşikÇKKV Yaklaşımı ile AB Ülkelerinin Yaşam Kalitesinin Değerlendirilmesi,2023,Karamanoğlu Mehmetbey Üniversitesi Sosyal ve Ekonomik Araştırmalar Dergisi,1445,1309-9132,2147-7833,PAPER,,"Ersoy, N. (2023a). Bütünleşik ÇKKV yaklaşımı ile AB ülkelerinin yaşam kalitesinin değerlendirilmesi. Karamanoğlu Mehmetbey Üniversitesi Sosyal ve Ekonomik Araştırmalar Dergisi, 25(44), 190-212."
8014,1215972,18984386,13,101615,2009,614,Faik Ahmet KARAVELİOĞULLARI,,,strong_trdizin_id,,no_doi,,Anew record Verbascum szovitsıanum Boiss. var. szovitsıanum (Scrophularıaceae) from Turkey,2009,Biological Diversity and Conservation,614,1308-5301,1308-8084,PAPER,,"[13] F. A. Karavelioğulları. “A new record Verbascum szovitsianum Boiss. var. szovitsianum (Scrophulariaceae) from Turkey.” Bio¬dicon., vol. 2, pp. 68–70, 2009."
8066,1250370,20100281,14,207064,2016,743,Osman KILINÇ; Birol ŞAFAK,,,strong_trdizin_id,,no_doi,,20102015 Yılları Arasında Kan Kültürlerinde Üreyen Mikroorganizmalar ve Antibiyotik Duyarlılıkları,2016,Klimik Dergisi,743,,1309-1484,PAPER,,"14. Şafak B, Kılınç O. 2010-2015 yılları arasında kan kültürlerinde üreyen mikroorganizmalar ve antibiyotik  duyarlılıkları. KLİMİK Dergisi. 2016;29(2):60-4."
8159,1285690,21739691,5,189888,2015,343,Davut KARAMAN; Hakan BAYRAKTAROĞLU; Adnan KALKAN,,,strong_trdizin_id,,no_doi,,KOBİLERESAĞLANAN TEŞVİKLERİN FİRMALARIN İHRACAT PERFORMANSINA KATKISI: ANTALYA ORGANİZE SANAYİ BÖLGESİ'NDE BİR UYGULAMA,2015,Akdeniz İİBF Dergisi,343,1302-9975,2667-7229,PAPER,,"Bayraktaroğlu, H., Karaman, D., Kalkan, A. (2015). Kobilere Sağlanan Teşviklerin Firmaların İhracat Performansına Katkısı: Antalya Organize Sanayi Bölgesinde Bir Uygulama. Akdeniz Üniversitesi Bilecik İktisadi ve İdari Bilimler Fakültesi. 89-108. https://dergipark.org.tr/en/download/article-file/372845"
8171,1269445,20898798,29,117785,2010,585,Gülay EKİCİ; Hülya GÜLAY OGELMAN,,,strong_trdizin_id,,no_doi,,MEBOkul öncesi eğitim programının çevre eğitimi açısından analizi,2010,Journal of Turkish Science Education,585,,1304-6020,PAPER,,"Gülay, H. ve Ekici, G. (2010). MEB okul öncesi eğitim programının çevre eğitimi açısından analizi. Türk Fen Eğitimi Dergisi, 7(1), 74-84."
8225,1329429,24116982,9,134451,2012,25,Mehmet Ali ÖZCAN; Fatih DEMİRKAN; Selda KAHRAMAN; Güner Hayri ÖZSAN; Özden PİŞKİN; Bülent ÜNDAR; Vahit DEMİR; Abdullah KATGI,,,strong_trdizin_id,,no_doi,,Kroniklenfositik lösemi hastalarının genel klinik değerlendirilmesi,2012,Dokuz Eylül Üniversitesi Tıp Fakültesi Dergisi,25,1300-6622,2602-3148,PAPER,,"Demir, V., Kahraman, S., Katgı, A., Pişkin, Ö., Özsan, G.H., Demirkan, F., Ündar, B., & Özcan, M.A. (2012) Kronik Lenfositik Lösemi Hastalarının Genel Klinik Değerlendirilmesi, DEU Tıp Derg., 26(1):9-19."
8227,1256294,20352839,7,133865,2012,541,L. GENÇ; K. DEMİREL; M. SAÇAN,,,strong_trdizin_id,,no_doi,,Effectsof different irrigation levels on pepper (Capsicum Annum Cv. Kapija) yield and quality parameters in semi-arid conditions,2012,Tekirdağ Ziraat Fakültesi Dergisi,541,1302-7050,2146-5894,PAPER,,"Demirel K, Genç L, Saçan M . 2012. Yarı kurak koşullarda farklı sulama düzeylerinin salçalık biberde (Capsicum annum cv. Kapija) verim ve kalite parametreleri üzerine etkisi. Tekirdağ Ziraat Fakültesi Dergisi, 9(2): 7-15."
8236,1229456,19483460,90,68555,2007,521,Muzaffer Ercan YILMAZ,,,strong_trdizin_id,,no_doi,,Westphaliadan Günümüze Savaş,2007,Uluslararası İlişkiler,521,1304-7310,,PAPER,,"Yılmaz, M. E. (2007). Westphalia’dan günümüze savaş, Uluslararası İlişkiler, 4(14), 17-38. Young, P. (2013). Oak, London: Reaktion Books."
8331,1195230,17617395,45,47484,2005,559,Bayram TAY,,,strong_trdizin_id,,no_doi,,SosyalBilgiler Ders Kitaplarında Öğrenme Stratejileri,2005,Gazi Üniversitesi Kırşehir Eğitim Fakültesi Dergisi,559,1302-5007,,PAPER,,"Tay, B. (2005). Sosyal bilgiler ders kitaplarında öğrenme stratejileri. Gazi Üniversitesi Kırşehir Eğitim Fakültesi Dergisi, 6(1), 209-225."
8338,1157694,17411128,56,130511,2011,586,Şenay GÜNGÖR; Recep BOZYİĞİT,,,strong_trdizin_id,,no_doi,,KonyaOvasının toprakları ve sorunları,2011,MARMARA COĞRAFYA DERGİSİ,586,,1303-2429,PAPER,,"56.Bozyiğit, R., Güngör, Ş. 2011. Konya Ovası’nın toprakları ve sorunları. Marmara Coğrafya Dergisi 24:169-200."
8418,1197991,17939287,9,109651,2011,195,Savaş SARIÖZKAN,,,strong_trdizin_id,,no_doi,,Türkiyede manda yetiştiriciliği'nin önemi,2011,Kafkas Üniversitesi Veteriner Fakültesi Dergisi,195,1300-6045,1309-2251,PAPER,,"Sarıözkan, S. (2011). Türkiye’de Manda Yetiştiriciliği’nin Önemi, Kafkas Üniv Vet Fak Derg, 17(1):163-166"
8472,1247245,20047421,1,190807,2014,1064,TÜLİN VURAL ARSLAN; FİLİZ ŞENKAL SEZER; Arzu ÇAHANTİMUR,,,strong_trdizin_id,,no_doi,,ALIŞVERİŞMERKEZLERİNDE KULLANICI MEMNUNİYETİNİN KONFOR KOŞULLARI AÇISINDAN DEĞERLENDİRİLMESİ: BURSA ÖRNEĞİ,2014,Uludağ Üniversitesi Mühendislik Fakültesi Dergisi,1064,2148-4147,2148-4155,PAPER,,"[1] Ş. F. Sezer, V. T. Arslan, A. Çahantimur, “Alışveriş merkezlerinde kullanıcı memnuniyetinin konfor koşulları açısından değerlendirilmesi: Bursa örneği,” Uludağ Üniversitesi Mühendislik-Mimarlık Fakültesi Dergisi, vol. 19, no. 1, pp. 81-95, 2014."
8541,1222678,19246245,10,265765,2016,1602,Serap ALTUNTAŞ; Fatma ER,,,strong_trdizin_id,,no_doi,,HemşirelerinTıbbi Hata Yapma Durumları ve Nedenlerine Yönelik Görüşlerinin Belirlenmesi,2016,Sağlık ve Hemşirelik Yönetimi Dergisi,1602,,2149-018X,PAPER,,"Er, F., Altuntaş, S. 2016. “Hemşirelerin tıbbi hata yapma durumları ve nedenlerine yönelik görüşlerinin belirlenmesi”, Sağlık ve Hemşirelik Yönetimi Dergisi, 3(3), 132-9."
8546,1245354,20029348,43,70285,2006,392,Hatice ŞAHİN,,,strong_trdizin_id,,no_doi,,TürkçedeŞimdiki Zaman Eklerinin Zaman Belirleyicilerle Kullanımı,2006,Uludağ Üniversitesi Fen Edebiyat Fakültesi Sosyal Bilimler Dergisi,392,1302-2423,2564-6834,PAPER,,"Şahin, Hatice, “Türkçede Şimdiki Zaman Eklerinin Zaman Belirleyicilerle Kullanımı”, Uludağ Üniversitesi Fen-Edebiyat Fakültesi Sosyal Bilimler Dergisi, 11, (2006), s. 213-221."
8557,1340078,24200690,5,157593,2013,693,Yasemin BABA,,,strong_trdizin_id,,no_doi,,Almanöğreti ve uygulaması ışığında vazgeçmede gönüllülük unsuru,2013,Türkiye Adalet Akademisi Dergisi,693,1309-6826,,PAPER,,"BABA, Yasemin: “Alman Öğreti ve Uygulaması Işığında Vazgeçmede Gönüllülük Unsuru”, Türkiye Adalet Akademisi Dergisi, 2013, Cilt 4, Sayı 14, s. 1125-1150."
8564,1376463,26295957,12,271137,2017,1958,Mert TOPOYAN; Olcay ÇELENK,,,strong_trdizin_id,,no_doi,,BirÜniversite Hastanesinde Görevli Hemşirelerin Problem Çözme Beceri Düzeylerinin İncelenmesi,2017,Dokuz Eylül Üniversitesi Hemşirelik Fakültesi Elektronik Dergisi,1958,,2149-0333,PAPER,,"12. Çelenk O, Topoyan M. Bir Üniversite Hastanesinde Görevli Hemşirelerin Problem Çözme Beceri Düzeylerinin İncelenmesi. Dokuz Eylül Üniversitesi Hemşirelik Fakültesi Elektronik Dergisi, 2017;10(4):251-259. https://dergipark.org.tr/en/download/article-file/752881. 12 Mayıs 2024’te erişildi."
8565,1199059,17830335,10,159320,2013,342,Nihal ÇALIŞKAN; Önder ÇANGAL,,,strong_trdizin_id,,no_doi,,Yabancılaratürkçe öğretiminde dil ihtiyaç analizi: Bosna-hersek örneği,2013,Abant İzzet Baysal Üniversitesi Eğitim Fakültesi Dergisi,342,1303-0493,2148-4929,PAPER,,"Çalışkan, N. ve Çangal, Ö. (2013). Yabancılara Türkçe Öğretiminde Dil İhtiyaç Analizi: Bosna Hersek Örneği. Abant İzzet Baysal Üniversitesi Eğitim Fakültesi Dergisi, 13(2), 310-334."
8570,1255311,20342647,2,81810,2008,295,Yılmaz AKYÜZ,,,strong_trdizin_id,,no_doi,,ManagingFinancial Instability in Emerging Markets: A Keynesian Perspective,2008,ODTÜ Gelişme Dergisi,295,1010-9935,2980-0870,PAPER,,"Akyüz, Y. (2008), “Managing Financial Instability in Emerging Markets: A Keynesian Perspective”, Turkish Economic Association Discussion Papers, 2008/4."
8572,1352122,24687542,11,273278,2017,1958,Güler DURU AŞİRET; Funda ÇETİNKAYA,,,strong_trdizin_id,,no_doi,,Dahilive Cerrahi Kliniklerindeki Hastaların Öğrenim Gereksinimlerinin Belirlenmesi,2017,Dokuz Eylül Üniversitesi Hemşirelik Fakültesi Elektronik Dergisi,1958,,2149-0333,PAPER,,"Çetinkaya F, Aşiret GD. Dahili ve cerrahi kliniklerindeki hastaların öğrenim gereksinimlerinin belirlenmesi [Identification of learning needs of patients in medical and surgical units]. Dokuz Eylül Üniversitesi Hemşirelik Fakültesi Elektronik Dergisi. 2017;10(2):93-9. [Link]"
8577,1381134,25798240,92,1269888,2023,3834,Şadiye YILDIRIM; Evren ÜLKERYILDIZ,,,strong_doi_crossref,10.5152/planarch.2023.23138,ok,10.5152/planarch.2023.23138,MimarlıkÖğrencilerinin Temel Tasarım Eğitiminde Edindikleri Tasarım İlkelerinin Algısal Değişimi Üzerine Bir İnceleme,2023,PLANARCH - Design and planning research (Online),3834,,2822-4507,PAPER,,"92. Tosun, Ş., Ülkeryıldız, E., Mimarlık Öğrencilerinin Temel Tasarım Eğitiminde Edindikleri Tasarım İlkelerinin Algısal Değişimi Üzerine Bir İnceleme, PLANARCH-Design and Planning Research, 7 (2), 153-162, 2023."
8661,1257557,20402314,52,82275,2008,116,Ahmet TOSUN; Metehan IRAK,,,strong_trdizin_id,,no_doi,,"Üstbilişölçeği-30'un Türkçe uyarlaması, geçerliği, güvenirliği, kaygı ve obsesif-kompülsif belirtilerle ilişkisi",2008,Türk Psikiyatri Dergisi,116,1300-2163,2651-3463,PAPER,,"Tosun, A., & Irak, M. (2008). Üstbiliş Ölçeği-30’un Türkçe uyarlaması, geçerliği, güvenirliği, kaygı ve obsesif-kompülsif belirtilerle ilişkisi. Turk Psikiyatri Derg, 19(1), 67–80. https://cdn.bau.edu.tr/ content/dri23hcv8zrft-dosyalar_16.pdf"
8667,1274616,21154953,24,85559,2008,378,Özlem BALTA ÇAKIR; Mehmet Barış HORZUM; Tuncay AYAS,,,strong_trdizin_id,,no_doi,,Çocuklarİçin Bilgisayar Oyun Bağımlılığı Ölçeği,2008,Türk Psikolojik Danışma ve Rehberlik Dergisi,378,1302-1370,,PAPER,,"Horzum, M. B., Ayas, T. & Çakır Balta, Ö. (2008). Çocuklar için bilgisayar oyun bağımlılığı ölçeği. Türk PDR (Psikolojik Danışma ve Rehberlik) Dergisi, 3(30), 76-88."
8711,1244350,20754812,36,1169211,2022,872,Qaisar NASRAT,,,strong_trdizin_id,,no_doi,,CRYONICSTIP HUKUKUNDA TARTIŞMALI BİR KONU,2022,Tıp Hukuku Dergisi,872,2147-1045,2149-4193,PAPER,,"Nasrat, Qaisar. Cryonics: Tıp Hukukunda Tartışmalı Bir Konu. Tıp Hukuku Dergisi, 3/ 22 (2022): 399-410."
8783,1247806,20072311,18,92319,2009,334,GÖNÜL ONUR SEZER; Dilşen ONSEKİZ,,,strong_trdizin_id,,no_doi,,Kumarlısemt parkında tasarım özelliklerinin değerlendirilmesi,2009,"İTÜ Dergisi Seri A: Mimarlık, Planlama, Tasarım",334,1303-7005,1307-1645,PAPER,,"Onsekiz, D. and Sezer, O. (2009). Kumarlı semt parkında tasarım özelliklerinin değerlendirilmesi, itüdergisi/a mimarlık, planlama, tasarım, 8(2), 3-14."
8826,1304519,22555018,9,388598,2018,848,Güçgeldi BASHIMOV,,,strong_trdizin_id,,no_doi,,KAZAKİSTANIN BAKIR SEKTÖRÜNDEKİ REKABET GÜCÜNÜN ÖLÇÜLMESİ,2018,Ekonomik ve Sosyal Araştırmalar Dergisi,848,1306-2174,1306-3553,PAPER,,"Bashimov G. 2018. Kazakistan’ın bakır sektöründeki rekabet gücünün ölçülmesi. Ekon Sos Araş Derg, Özel Sayı, 55-68."
8854,1375844,25643159,80,122813,2011,692,MEHMET ŞİMŞİR,,,strong_trdizin_id,,no_doi,,HZPeygamber ve Raşid Halifeler döneminde özel iz ve işaret olarak kullanılan parola ve bayraklar,2011,İstem,692,1304-0618,2602-408X,PAPER,,"Şimşir, Mehmet. “Hz. Peygamber ve Râşid Halifeler Döneminde Özel İz ve İşaret Olarak Kullanılan Parola ve Bayraklar”. İSTEM 17 (2011), 155-175."
8858,1319539,23352293,21,71424,2007,138,Ayşen BAYRAM; TEKİN KARSLIGİL; Fahriye EKŞİ,,,strong_trdizin_id,,no_doi,,Çocuklukyaş grubu ishallerinde Escherichia coli O157:H7’nin araştırılması,2007,Van Tıp Dergisi,138,1300-2694,2587-0351,PAPER,,"21. Ekşi F, Karslıgil T, Bayram A. Investigation of Escherichia coli O157:H7 in childhood age group diarrhea. Van Med J 2007;14:15-8."
8924,1343314,24341977,2,191747,2014,1045,Ebru GÜNEREN; Gamze ÇOBAN; Zeynep ASLAN,,,strong_trdizin_id,,no_doi,,DestinasyonMarkalaşma Sürecinde Yöresel Mutfağın Rolü: Nevşehir Örneği,2014,Journal of Tourism and Gastronomy Studies,1045,,2147-8775,PAPER,,"(2) Aslan, Zeynep - Güneren, Ebru ve Çoban, Gamze (2014), “Destinasyon Markalaşma Sürecinde Yöresel Mutfağın Rolü: Nevşehir Örneği”, Journal of Tourism and Gastronomy Studies, 2/4, 3-13."
8925,1343314,24342009,34,296103,2012,664,Adem SAĞIR,,,strong_trdizin_id,,no_doi,,BİRYEMEK SOSYOLOJİSİ DENEMESİ ÖRNEĞİ OLARAK TOKAT MUTFAĞI,2012,Turkish Studies (Elektronik),664,,1308-2140,PAPER,,"(34) Sağır, Adem (2012), “Bir Yemek Sosyolojisi Denemesi Örneği Olarak Tokat Mutfağı”, International Periodical for the Languages, Literature and History of Turkish, 7/4, 2675-2695."
8957,1221063,18809019,9,323582,2018,801,Bekir GEÇİT,,,strong_trdizin_id,,no_doi,,İbnHaldun'da Siyasal Gücün Kullanılmasında 'Asa-biyet'in Önemi,2018,Beytulhikme An International Journal of Philosophy,801,,1303-8303,PAPER,,"GEÇİT, Bekir (2018). “İbn Haldun’da Siyasal Gücün Kullanılmasında ‘Asabiyet’in Önemi”, Beytülhikme Uluslararası Felsefe Dergisi, Cilt: 8, Sayı: 2, ss.619-639."
9386,1211670,18462304,40,148080,2013,407,Patrick RONEY,,,strong_trdizin_id,,no_doi,,Transcendenceand life: Nietzsche on the death of god,2013,Kaygı. Uludağ Üniversitesi Fen-Edebiyat Fakültesi Felsefe Dergisi,407,1303-4251,2645-8950,PAPER,,"Roney, Patrick. “Aşkınlık ve Yaşam: Nietzsche ve ‘Tanrının Ölümü’ Üzerine”. çev. Elis Şimşon. Kaygı 20 (2013), 305-322."
9410,1179846,16860188,37,1156266,2021,399,Emre YILDIZ; Sinan AKDAĞ; Yeter ÜNLÜ,,,strong_doi_not_crossref_verified,10.7822/omuefd.747484,not_found,,ÖğretmenAdaylarının Günümüz Dünya Sorunlarına Yönelik Tutumlarının Bazı Değişkenler Açısından İncelenmesi,2021,Ondokuz Mayıs Üniversitesi Eğitim Fakültesi Dergisi,399,1300-302X,2548-0278,PAPER,,"Yıldız, E., Akdağ, S., & Ünlü, Y. (2021). Öğretmen adaylarının günümüz dünya sorunlarına yönelik tutumlarının bazı değişkenler açısından incelenmesi. Ondokuz Mayıs Üniversitesi Eğitim Fakültesi Dergisi, 40(1), 497–517."
9426,1282955,21581038,17,106291,2010,501,Sibel GÜLER,,,strong_trdizin_id,,no_doi,,Türkmutfak kültürü ve yeme içme alışkanlıkları,2010,Dumlupınar Üniversitesi Sosyal Bilimler Dergisi,501,,2587-005X,PAPER,,"Güler, S. (2010). Türk mutfak kültürü ve yeme içme alışkanlıkları. Dumlupınar Üniversitesi Sosyal Bilimler Dergisi, 26, 24-30."
9462,1278068,21302635,18,422267,2020,1008,Muzaffer BİMAY,,,strong_doi_not_crossref_verified,10.18506/anemon.772594,not_found,,SuriyeliSığınmacıların Sosyo-Ekonomik ve Kültürel Uyum Düzeylerinin Karşılaştırılması: Kilis ve Batman Örneği,2020,Anemon Muş Alparslan Üniversitesi Sosyal Bilimler Dergisi,1008,2147-7655,2149-4622,PAPER,,"Bimay, M. (2020b). Suriyeli Sığınmacıların Sosyo-Ekonomik ve Kültürel Uyum Düzeylerinin Karşılaştırılması: Kilis ve Batman Örneği. Anemon Muş Alparslan Üniversitesi Sosyal Bilimler Dergisi, 8 (6), 1931-1943."
9545,1187921,17238006,27,39936,2005,362,ŞERİFE SEMA KARAKELLE,,,strong_trdizin_id,,no_doi,,ÖğretmenlerinEtkili Öğretmen Tanımlarının Etkili Öğretmenlik Boyutlarına Göre İncelenmesi,2005,Eğitim ve Bilim,362,1300-1337,,PAPER,,"Karakelle, S. (2005). Öğretmenlerin etkili öğretmen tanımlarının etkili öğretmenlik boyutlarına göre incelenmesi. Eğitim ve Bilim, 30(135). 1-10."
9599,1343589,24355667,33,43722,2002,208,Ali Yıldırım KORKUT; Fırat Aysun KOP,,,strong_trdizin_id,,no_doi,,Balıkyemlerinde kalite kontrol,2002,Su Ürünleri Dergisi,208,1300-1590,2148-3140,PAPER,,"Kop, A. F., & Korkut, A. Y. (2002). Balık Yemlerinde Kalite Kontrol. Su   U ¨  r  u ¨  nleri Dergisi, 19(1)."
9609,1321842,23463044,65,64989,2006,1230,Mustafa KURU; Nigün TATAR,,,strong_trdizin_id,,no_doi,,FenEğitiminde Araştırmaya Dayalı Öğrenme Yaklaşımının Akademik Başarıya Etkisi,2006,Hacettepe Üniversitesi Eğitim Fakültesi Dergisi,1230,1300-5340,2536-4758,PAPER,,"Tatar, N. ve Kuru, M. (2006). Fen eğitiminde araştırmaya dayalı öğrenme yaklaşımının akademik başarıya etkisi. Hacettepe Üniversitesi Eğitim Fakültesi Dergisi, 31(31), 147-158."
9665,1275313,21184127,53,1156265,2021,399,Esat ŞANLI; Murat GÖKALP; Atakan YİĞİT,,,strong_doi_not_crossref_verified,10.7822/omuefd.856750,not_found,,"Türkiyedeki Suriyeli Öğrencilerin Okula Uyumlarına Yönelik Öğretmen, Okul Yöneticileri ve Öğrencilerin Görüşleri",2021,Ondokuz Mayıs Üniversitesi Eğitim Fakültesi Dergisi,399,1300-302X,2548-0278,PAPER,,"Yiğit, A., Şanlı, E. ve Gökalp, M. (2021). Türkiye’deki Suriyeli öğrencilerin okula uyumlarına yönelik öğretmen, okul yöneticileri ve öğrencilerin görüşleri. Ondokuz Mayıs Üniversitesi Eğitim Fakültesi Dergisi, 40(1), 471-496."
