sample_index,publication_id,reference_id,reference_order,target_publication_id,reference_year,reference_journal_code,reference_authors,source_doi,hidden_doi,trdizin_status,target_doi,target_crossref_status,target_crossref_doi,target_title,target_year,target_journal,target_journal_code,target_issn,target_eissn,target_doc_type,request_error,context
5795,1378119,25707176,13,178950,2013,517,ÖZLEM GÜLLÜOĞLU IŞIK,,,strong_trdizin_id,,no_doi,,Kayseride Hizmet Veren Özel İlköğretim Okulu Öğretmenlerinin Çatışma Faktörlerinin ve Çatışma Yönetimi Stratejilerinin Analizi,2013,İletişim Kuram ve Araştırma Dergisi,517,,2147-4524,PAPER,,"Güllüoğlu, Ö. (2013). Analyzing conflict factors and conflict management strategies of the teachers working in private schools in Kayseri. Journal of Communication Theory and Research, 1(36), 193- 218."
5798,1378119,25707208,45,250913,2015,1230,Esen SUCUOĞLU,,,strong_trdizin_id,,no_doi,,DevletLisesi Öğretmenlerinin Çatışma Nedenleri ve Çatışma Yönetimi Yaklaşımlarının Değerlendirilmesi,2015,Hacettepe Üniversitesi Eğitim Fakültesi Dergisi,1230,1300-5340,2536-4758,PAPER,,"Sucuoğlu, E. (2015). Evaluation of the conflict causes and conflict management approaches of the state lycee teachers. H. U. Journal of Education, 30(4), 16-28."
5801,1378119,25707214,51,90476,2009,589,Senay YÜRÜR,,,strong_trdizin_id,,no_doi,,YöneticilerinÇatışma Yönetim Tarzları ve Kişilik Özellikleri Arasındaki İlişkinin Analizine Yönelik Bir Araştırma,2009,Cumhuriyet Üniversitesi İktisadi ve İdari Bilimler Dergisi,589,1303-1279,,PAPER,,"Yürür, S. (2009). A study of analyzing the relationship between personality traits and conflict management styles of managers.  Cumhuriyet University Journal of Economics & Administrative Sciences, 10(1), 23-42."
5863,1341423,24256477,19,288651,2018,501,Kudret GÜL; Melike GÜL,,,strong_trdizin_id,,no_doi,,BALIKESİRİLİNDE KADIN GİRİŞİMCİ PROFİLİ VE SORUNLARI: YİYECEK SEKTÖRÜNDE BİR UYGULAMA,2018,Dumlupınar Üniversitesi Sosyal Bilimler Dergisi,501,,2587-005X,PAPER,,"Gül, M., & Gül, K. (2018). Balıkesir ilinde kadın girişimci profili ve sorunları: Yiyecek sektöründe bir uygulama. Dumlupınar Üniversitesi Sosyal Bilimler Dergisi, 56, 82-96."
5905,1288651,21878397,6,109037,2010,548,Serhan GÜRLÜK,,,strong_trdizin_id,,no_doi,,Sürdürülebilirkalkınma gelişmekte olan ülkelerde uygulanabilir mi?,2010,Eskişehir Osmangazi Üniversitesi İktisadi ve İdari Bilimler Dergisi,548,1306-6730,1306-6293,PAPER,,[6] Gürlük S. Sürdürülebilir kalkınma gelişmekte olan ülkelerde uygulanabilir mi? Eskişehir  Osmangazi Üniversitesi İİBF Dergisi 2010; 5(2): 85-99.
5909,1288651,21878467,76,232143,2017,300,Fatih Emre BORAN; Elif DAMGACI; Kurtuluş BORAN,,,strong_trdizin_id,,no_doi,,Sezgiselbulanık TOPSIS yöntemi kullanarak Türkiye’nin yenilenebilir enerji kaynaklarının değerlendirilmesi,2017,Politeknik Dergisi,300,1302-0900,2147-9429,PAPER,,"[76] Damgacı E, Boran K, Boran FE. Sezgisel bulanık TOPSIS yöntemi kullanarak Türkiye’nin  yenilenebilir enerji kaynaklarının değerlendirilmesi. Politeknik Dergisi 2017; 20(3): 629-637."
5961,1252893,20292211,84,491416,2021,693,Enes KÖKEN,,,strong_trdizin_id,,no_doi,,YAPAYZEKÂNIN CEZAİ SORUMLULUĞU,2021,Türkiye Adalet Akademisi Dergisi,693,1309-6826,,PAPER,,"Köken, Enes, “Yapay Zekânın Cezai Sorumluluğu”, Türkiye Adalet Akademisi Dergisi 47 (Temmuz 2021), 247-286."
5962,1252893,20292251,124,462885,2021,2680,Ayşe TANRIVERDİ,,,strong_trdizin_id,,no_doi,,YAPAYZEKÂNIN KAMU HİZMETİNİN SUNUMUNA ETKİLERİ,2021,Adalet Dergisi ,2680,1011-730X,2717-6614,PAPER,,"Tanrıverdi, Ayşe Almıla. “Yapay Zekânın Kamu Hizmetinin Sunumuna Etkileri”. Adalet Dergisi 66/1 (2021), 293-314."
6060,1344437,24395134,55,71353,2006,424,Alper YONTAR; Filiz YURTAL,,,strong_trdizin_id,,no_doi,,SınıfÖğretmenlerinin Öğrencilerinden Bekledikleri Sorumluluklar ve Sorumluluk Kazandırmada Kullandıkları Yöntemler,2006,Çukurova Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,424,1304-8880,1304-8899,PAPER,,"Yurtal, F. & Yontar, A. G. A. (2006). Sınıf öğretmenlerinin öğrencilerinden bekledikleri sorumluluklar ve sorumluluk kazandırmada kullandıkları yöntemler. Çukurova Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 15(2), 411-423."
6126,1318472,24033451,27,341571,2019,546,Mert Onuralp GÖKALP; Ebru GÖKALP; Selin ÇOBAN; PEKİN ERHAN EREN,,,strong_trdizin_id,,no_doi,,DİJİTALDÖNÜŞÜMÜN ETKİSİNDE VERİMLİ İSTİHDAM YÖNETİMİ: YOL HARİTASI ÖNERİSİ,2019,Verimlilik Dergisi,546,1013-1388,2757-6973,PAPER,,"Gokalp, E., Gökalp, M. O., Çoban, S., Eren, P. E. (2019). Dijital dönüşümün etkisinde verimli istihdam yönetimi: yol haritasi önerisi. Verimlilik Dergisi, (3), 201-222."
